,jáne,men,bul,dep,deıin,aqsh,úshin,týraly,qazaqparat,haa,astana,qazaqstan,ol,boıynsha,aq,onyń,da,ulttyq,bir,jańa
jáne,0,1429,1405,1368,1206,535,997,1058,1611,1611,1405,563,757,778,837,753,678,582,608,599
men,1429,0,1272,1258,1075,485,937,956,1435,1435,1295,495,697,689,757,683,647,513,565,547
bul,1405,1272,0,1240,1113,522,941,1050,1441,1441,1316,471,741,666,751,686,632,496,595,558
dep,1368,1258,1240,0,1122,537,900,937,1445,1445,1255,323,693,682,691,675,600,418,547,489
deıin,1206,1075,1113,1122,0,474,776,875,1315,1315,1148,409,630,592,633,569,522,426,492,432
aqsh,535,485,522,537,474,0,371,426,547,547,564,110,319,281,328,299,238,148,217,184
úshin,997,937,941,900,776,371,0,716,990,990,904,308,557,484,546,515,487,337,458,420
týraly,1058,956,1050,937,875,426,716,0,1029,1029,959,312,572,523,572,530,465,375,422,411
qazaqparat,1611,1435,1441,1445,1315,547,990,1029,0,2073,1649,559,805,746,823,730,663,547,641,532
haa,1611,1435,1441,1445,1315,547,990,1029,2073,0,1649,559,805,746,823,730,663,547,641,532
astana,1405,1295,1316,1255,1148,564,904,959,1649,1649,0,480,735,688,737,674,607,498,600,515
qazaqstan,563,495,471,323,409,110,308,312,559,559,480,0,245,282,337,228,251,305,207,203
ol,757,697,741,693,630,319,557,572,805,805,735,245,0,365,445,466,383,278,379,295
boıynsha,778,689,666,682,592,281,484,523,746,746,688,282,365,0,389,382,334,256,293,280
aq,837,757,751,691,633,328,546,572,823,823,737,337,445,389,0,411,386,326,334,336
onyń,753,683,686,675,569,299,515,530,730,730,674,228,466,382,411,0,361,262,359,307
da,678,647,632,600,522,238,487,465,663,663,607,251,383,334,386,361,0,240,339,285
ulttyq,582,513,496,418,426,148,337,375,547,547,498,305,278,256,326,262,240,0,227,227
bir,608,565,595,547,492,217,458,422,641,641,600,207,379,293,334,359,339,227,0,260
jańa,599,547,558,489,432,184,420,411,532,532,515,203,295,280,336,307,285,227,260,0
