equation,result_word,score,missing_words
tramp - aqsh + qazaqstan,prezıdent_qasym,0.3832,
tramp - aqsh + qazaqstan,jomart_toqaev,0.3818,
tramp - aqsh + qazaqstan,asia,0.3785,
tramp - aqsh + qazaqstan,qazaqstanǵa,0.3752,
tramp - aqsh + qazaqstan,qazaqstan_fýtbol,0.3526,
aqsh - tramp + prezıdenti,vıtse_prezıdenti,0.4532,
aqsh - tramp + prezıdenti,vens,0.4447,
aqsh - tramp + prezıdenti,bolgarııa,0.4374,
aqsh - tramp + prezıdenti,estonııa,0.4349,
aqsh - tramp + prezıdenti,túrkııa,0.4343,
jumys + isteý,berýshige,0.8359,
jumys + isteý,isteıtinine,0.829,
jumys + isteý,qalaıdy,0.817,
jumys + isteý,isteımiz,0.8122,
jumys + isteý,istelip,0.8111,
ulttyq + halyqaralyq,halyqaralyq_deńgeıde,0.5238,
ulttyq + halyqaralyq,olımpıada_komıtetiniń,0.4935,
ulttyq + halyqaralyq,uıymy,0.487,
ulttyq + halyqaralyq,mipcom,0.4736,
ulttyq + halyqaralyq,boks,0.4702,
qazaqstan + prezıdenti - aqsh,federatsııasy,0.5065,
qazaqstan + prezıdenti - aqsh,jattyqtyrýshysy,0.481,
qazaqstan + prezıdenti - aqsh,qazaqstan_fýtbol,0.4774,
qazaqstan + prezıdenti - aqsh,bas_bapkeri,0.4752,
qazaqstan + prezıdenti - aqsh,ulttyq_quramasynyń,0.4603,
