query_word,similar_word,similarity
qazaqstan,quramasynyń,0.967
qazaqstan,quramasy,0.9633
qazaqstan,alem,0.9598
qazaqstan,atynan,0.9578
qazaqstan,qyzdar,0.9499
qazaqstan,halqy,0.94
qazaqstan,halqyna,0.9393
qazaqstan,respýblıkasyndaǵy,0.9363
qazaqstan,kınoteatrlarynda,0.9342
qazaqstan,jarysqa,0.9332
prezıdenti,eks,0.9781
prezıdenti,venesýela,0.9765
prezıdenti,trampqa,0.9757
prezıdenti,janyndaǵy,0.9657
prezıdenti,tramppen,0.9641
prezıdenti,vladımır,0.9636
prezıdenti,tramptyń,0.9602
prezıdenti,zelenskıı,0.9563
prezıdenti,ákimshiligi,0.9538
prezıdenti,shavkat,0.9516
memlekettik,akademııalyq,0.9623
memlekettik,organdar,0.9578
memlekettik,keńesshi,0.9529
memlekettik,qaýipsizdik,0.9497
memlekettik,departamenti,0.9398
memlekettik,daryn,0.9375
memlekettik,kınony,0.9361
memlekettik,organdardyń,0.936
memlekettik,tili,0.9346
memlekettik,ýnıversıteti,0.9256
halyqaralyq,arenada,0.9265
halyqaralyq,týrnırde,0.9259
halyqaralyq,transkaspıı,0.9094
halyqaralyq,arenadaǵy,0.8884
halyqaralyq,bedelin,0.854
halyqaralyq,álemdik,0.8536
halyqaralyq,uıymnan,0.8504
halyqaralyq,jobasy,0.8431
halyqaralyq,deńgeıde,0.839
halyqaralyq,túrkistan,0.8304
ulttyq,quryltaıda,0.984
ulttyq,mýzeıinde,0.971
ulttyq,qordyń,0.9667
ulttyq,quramanyń,0.9604
ulttyq,kınony,0.9574
ulttyq,qor,0.956
ulttyq,qazaqtyń,0.9477
ulttyq,qordan,0.9454
ulttyq,horeografııa,0.9438
ulttyq,statıstıka,0.9389
adam,taýyp,0.9807
adam,er,0.9766
adam,saldarynan,0.9437
adam,shyǵyny,0.9372
adam,ustalǵan,0.9276
adam,qaza,0.9244
adam,myńdaǵan,0.9231
adam,keminde,0.9204
adam,qatysqan,0.92
adam,opat,0.9109
jumys,isteıtin,0.9846
jumys,istegen,0.9725
jumys,isteýge,0.9708
jumys,isteıdi,0.9671
jumys,istedi,0.9553
jumys,istep,0.8912
jumys,isteýi,0.8213
jumys,naqty,0.7549
jumys,orny,0.7534
jumys,óte,0.7484
ortalyq,azııanyń,0.9821
ortalyq,azııaǵa,0.9791
ortalyq,azııada,0.9781
ortalyq,azııadaǵy,0.9731
ortalyq,azııamen,0.9711
ortalyq,azııa,0.97
ortalyq,elderiniń,0.9643
ortalyq,eýroodaq,0.9613
ortalyq,elderi,0.9573
ortalyq,azııadan,0.9339
tramp,donald,0.9737
tramp,týsk,0.9712
tramp,ákimshiligi,0.9634
tramp,tramptyń,0.9621
tramp,pentagonǵa,0.9612
tramp,trampqa,0.9578
tramp,venesýelany,0.9573
tramp,jazbasynda,0.9468
tramp,ákimshiligimen,0.9441
tramp,truth,0.9334
aqsh,ta,0.9875
aqsh,tyń,0.9822
aqsh,dollaryn,0.9806
aqsh,dollaryna,0.9703
aqsh,qa,0.9597
aqsh,ty,0.9587
aqsh,áskeri,0.9586
aqsh,kongresiniń,0.9584
aqsh,grenlandııanyń,0.9576
aqsh,áskerıleri,0.9523
