feature,model,test_accuracy,test_f1_macro,test_f1_weighted,dev_f1_macro
count,birnn,0.2056451612903226,0.15913988010461982,0.16772813279579407,0.18586936789781827
count,logreg_baseline,0.8225806451612904,0.7211400865595675,0.822341088272593,0.8285106813767107
count,lstm,0.21370967741935484,0.11643880094836302,0.13543360305968546,0.13963154136385603
count,rnn,0.24596774193548387,0.17788325187790507,0.2262221017788564,0.20238023181939802
glove,birnn,0.21370967741935484,0.0761162865403148,0.11049138368755375,0.0743734335839599
glove,logreg_baseline,0.6169354838709677,0.5667912950844395,0.6282240728352855,0.5674432629752177
glove,lstm,0.33064516129032256,0.18296561319817134,0.2655952449650874,0.16329878769199158
glove,rnn,0.2782258064516129,0.1787877670496515,0.20838270747253967,0.20817270964329787
pmi,birnn,0.7137096774193549,0.6091678142829038,0.718153309441157,0.5575958330490554
pmi,logreg_baseline,0.8387096774193549,0.7535609332575139,0.8387536610295234,0.8385430412487844
pmi,lstm,0.24193548387096775,0.15485985506038982,0.19218401505575908,0.17422540781533652
pmi,rnn,0.24596774193548387,0.16977870435317244,0.2344547846435286,0.2419970985596681
tfidf,birnn,0.2661290322580645,0.13409767215052015,0.20724642416814298,0.14558566433566433
tfidf,logreg_baseline,0.8588709677419355,0.7816101446409122,0.8595872252770492,0.8249502341226798
tfidf,lstm,0.23790322580645162,0.09631287297527708,0.13980900915766026,0.10087830600642664
tfidf,rnn,0.20967741935483872,0.10402879330200628,0.15100953866420266,0.1297686897039816
word2vec,birnn,0.5887096774193549,0.44635168646201695,0.5974617521099879,0.5208366431030287
word2vec,logreg_baseline,0.7741935483870968,0.669564262664849,0.78243199419091,0.7069096198100032
word2vec,lstm,0.2056451612903226,0.06722633527234267,0.09758661571791678,0.07618089361311278
word2vec,rnn,0.36693548387096775,0.1985473215400321,0.2758069059576148,0.20733593969502695
